PROV,Lat, long, elev,SSP,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH,CMI,DD1040,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at,Tmax_01,Tmax_02,Tmax_03,Tmax_04,Tmax_05,Tmax_06,Tmax_07,Tmax_08,Tmax_09,Tmax_10,Tmax_11,Tmax_12,Tmin_01,Tmin_02,Tmin_03,Tmin_04,Tmin_05,Tmin_06,Tmin_07,Tmin_08,Tmin_09,Tmin_10,Tmin_11,Tmin_12,Tave_01,Tave_02,Tave_03,Tave_04,Tave_05,Tave_06,Tave_07,Tave_08,Tave_09,Tave_10,Tave_11,Tave_12,Prec_01,Prec_02,Prec_03,Prec_04,Prec_05,Prec_06,Prec_07,Prec_08,Prec_09,Prec_10,Prec_11,Prec_12,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Rad_11,Rad_12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD_01,NFFD_02,NFFD_03,NFFD_04,NFFD_05,NFFD_06,NFFD_07,NFFD_08,NFFD_09,NFFD_10,NFFD_11,NFFD_12,PAS_01,PAS_02,PAS_03,PAS_04,PAS_05,PAS_06,PAS_07,PAS_08,PAS_09,PAS_10,PAS_11,PAS_12,Eref_01,Eref_02,Eref_03,Eref_04,Eref_05,Eref_06,Eref_07,Eref_08,Eref_09,Eref_10,Eref_11,Eref_12,CMD_01,CMD_02,CMD_03,CMD_04,CMD_05,CMD_06,CMD_07,CMD_08,CMD_09,CMD_10,CMD_11,CMD_12,RH_01,RH_02,RH_03,RH_04,RH_05,RH_06,RH_07,RH_08,RH_09,RH_10,RH_11,RH_12,CMI_01,CMI_02,CMI_03,CMI_04,CMI_05,CMI_06,CMI_07,CMI_08,CMI_09,CMI_10,CMI_11,CMI_12
N,59.18291,-129.7254,792,0,-0.9,13.3,-15.8,29.1,483,213,18.8,62.5,1957,829,6873,10,130,162,246,84,258,-48,29.8,393,182,8.7,58,16.04,254,-8.6,5.5,18.3,3.8,-20.1,-7,5.7,-5,-14.3,-0.7,12,-0.6,138,60,141,144,-9999,13.1,16.8,3.3,1300,326,0,330,1,82,649,97,2906,1725,549,1694,0,1,8,1,0,17,87,26,138,40,3,78,0,72,271,50,0,52,130,0,51,54,61,67,13.84,1.02,-8.44,9.61,-10,-5.1,-1.3,5.5,12.3,17.7,19.6,17.6,12.2,3.9,-4.6,-10.6,-21.5,-19.2,-15.2,-6,0.3,4.7,7,5.5,1.9,-3.2,-13.7,-19.5,-15.8,-12.2,-8.3,-0.2,6.3,11.2,13.3,11.6,7,0.3,-9.2,-15,48,43,24,16,20,44,49,48,52,43,48,47,-3332.2,-3329.4,-3324.6,-3315.5,-3311.7,-3312.6,-3319.5,-3321.7,-3328.5,-3331.3,-3333.2,-3332.1,490,343,262,61,3,0,0,0,2,53,275,467,0,1,2,13,68,187,259,204,81,15,1,0,1045,841,816,547,363,205,144,201,330,549,814,1020,0,0,0,0,1,2,3,2,1,0,0,0,0,0,0,2,15,27,31,29,20,6,0,0,48,43,24,13,3,1,1,1,7,25,46,47,0,0,0,0,72,97,100,74,37,12,0,0,0,0,0,0,52,53,51,26,0,0,0,0,50,43,45,58,61,59,61,62,66,73,61,60,4.82,4.27,2.39,0.54,-1.92,-2.98,-3.21,-2.25,1.32,3.46,4.83,4.75
N,59.18291,-129.7254,792,126,0.9,15.1,-14.9,30,630,269,17.2,56.3,1645,1096,6238,23,150,146,255,109,307,-45.3,31.8,463,185,8.7,57,24.46,424,-6.6,7,20.4,6.2,-18.7,-5.4,7.3,-3.4,-12.6,0.8,13.8,1.4,183,86,172,189,1.4,13.1,16.8,3.3,1141,258,0,247,2,122,816,157,2754,1584,391,1510,0,2,19,2,0,25,90,35,181,51,1,73,0,113,294,56,0,64,122,0,50,55,60,65,18.28,2.68,-8.69,12.19,-8.9,-2.8,1,6.6,13.4,19.6,21.8,19.9,14.2,6.8,-2.4,-8.1,-21,-17.2,-13.4,-5,2.2,6.3,8.4,7.1,3.5,-1.2,-12.4,-17.8,-14.9,-10,-6.2,0.8,7.8,12.9,15.1,13.5,8.8,2.8,-7.4,-12.9,63,55,36,19,31,52,63,56,66,65,59,64,0.8,2.6,7.4,14.2,17,19.3,17.8,13.8,6.4,2.5,0.7,0.9,464,274,212,45,1,0,0,0,1,22,224,403,0,1,3,17,101,238,314,264,124,31,2,0,1019,780,751,516,317,151,98,142,276,472,762,955,0,0,0,0,2,5,9,5,2,0,0,0,0,0,0,3,21,29,31,30,24,11,0,0,63,55,36,13,3,0,0,1,5,15,54,64,0,0,0,40,73,104,109,81,41,15,0,0,0,0,0,21,42,51,46,25,0,0,0,0,48,43,44,58,64,59,60,61,65,72,58,58,6.32,5.53,3.63,0.5,-1.45,-3,-3.06,-2.62,1.49,4.82,5.87,6.43
N,59.18291,-129.7254,792,245,1.9,16.3,-13.8,30,649,275,18.3,59.2,1492,1255,5894,39,158,142,259,118,302,-44.4,32.8,479,194,8.7,57,22.9,538,-5.4,8,21.5,7.3,-17.8,-4.6,8.4,-2.5,-11.6,1.7,14.9,2.4,187,89,174,198,1.4,13.1,16.8,3.3,1056,220,0,215,2,149,915,189,2662,1503,310,1419,0,3,33,3,0,28,91,39,184,49,1,68,0,118,304,58,0,65,130,0,49,55,60,65,18.67,2.18,-10.13,12.19,-7.6,-2,2.2,7.5,14.2,20.6,22.9,21,15.1,7.6,-0.8,-6.8,-19.9,-16.6,-12.6,-4.3,3,7.2,9.6,8.3,4.3,-0.5,-11.2,-16.8,-13.8,-9.3,-5.2,1.6,8.6,13.9,16.3,14.6,9.7,3.6,-6,-11.8,64,55,36,20,33,54,62,58,68,68,63,68,0.8,2.6,7.2,13.8,16.6,18.9,17.8,13.8,6.3,2.4,0.7,0.8,428,261,185,35,1,0,0,0,1,17,198,367,0,1,4,22,123,267,350,298,148,38,3,1,983,760,720,492,291,130,69,110,250,449,720,920,0,0,0,0,3,8,16,9,3,0,0,0,0,0,0,4,24,29,31,31,25,13,1,0,63,54,35,11,2,0,0,1,4,11,54,67,0,0,0,42,76,107,112,84,42,16,0,0,0,0,0,22,43,53,51,26,0,0,0,0,48,42,44,58,64,59,60,61,65,72,57,57,6.4,5.48,3.64,0.32,-1.79,-3.35,-3.77,-3.02,1.01,4.92,6.26,6.79
N,59.18291,-129.7254,792,370,3,17.5,-12.7,30.1,667,282,19.4,61.9,1341,1456,5523,67,168,133,265,132,292,-43.6,33.8,498,206,8.7,57,20.53,679,-4.2,9,22.7,8.5,-16.9,-3.6,9.6,-1.4,-10.5,2.7,16.1,3.5,190,95,174,208,1.4,13.1,16.8,3.3,969,188,0,185,3,194,1025,234,2566,1408,231,1317,0,4,58,4,0,32,91,44,185,45,1,61,0,123,315,61,0,66,141,0,48,56,60,65,19.02,1.37,-12.03,12.18,-6.3,-0.5,3.1,8.6,15.4,21.7,24.1,22.2,16.2,8.9,0.4,-5.7,-19,-15.6,-11.8,-3.3,4.3,8.3,10.8,9.6,5.3,0.7,-10.2,-16,-12.7,-8.1,-4.4,2.7,9.9,15,17.5,15.9,10.7,4.8,-4.9,-10.9,66,56,38,20,38,57,59,57,71,72,66,68,0.8,2.5,7,13.4,16,18.6,17.8,13.8,6.2,2.3,0.7,0.8,395,236,163,24,0,0,0,0,0,11,173,338,0,2,5,30,158,300,387,339,178,53,4,1,949,726,695,461,253,105,45,82,219,410,688,891,0,0,0,0,4,13,29,16,4,0,0,0,0,0,0,5,27,30,31,31,27,17,1,0,65,54,36,8,1,0,0,0,3,6,52,66,0,0,0,45,79,111,116,87,44,17,0,0,0,0,0,24,41,54,57,30,0,0,0,0,47,41,44,59,65,59,60,62,65,72,57,56,6.62,5.59,3.62,-0.07,-2.19,-3.64,-4.68,-3.71,0.79,4.8,6.58,6.81
N,59.18291,-129.7254,792,585,3.7,18.3,-11.9,30.2,697,294,19.7,62.2,1213,1590,5262,93,175,128,270,142,291,-42.3,34.2,506,202,8.7,58,21.41,777,-3.4,9.8,23.3,9.1,-15.9,-2.8,10.4,-0.6,-9.7,3.5,16.9,4.2,193,102,181,221,1.4,13.1,16.8,3.3,888,159,0,165,4,225,1095,267,2488,1336,186,1253,0,6,82,6,0,35,92,48,186,46,0,59,0,126,319,61,0,64,138,0,49,57,61,66,19.32,1.38,-12.22,12.93,-5.7,0.3,4.1,9.2,16.1,22.4,24.8,22.9,16.8,9.4,1.1,-4.9,-18.1,-14.6,-11,-2.6,5.3,9.1,11.8,10.4,6.2,1.5,-9.5,-14.9,-11.9,-7.2,-3.5,3.3,10.7,15.7,18.3,16.6,11.5,5.4,-4.2,-9.9,66,58,41,22,40,59,62,60,73,77,71,69,0.8,2.4,6.9,13.1,15.8,18.6,17.8,13.6,6.1,2.3,0.7,0.8,371,215,140,19,0,0,0,0,0,8,156,303,1,2,7,36,182,322,412,361,200,62,4,1,925,701,668,441,227,87,32,66,196,391,666,861,0,0,0,1,5,19,41,22,5,1,0,0,0,0,0,7,28,30,31,31,28,19,1,0,64,55,38,7,1,0,0,0,2,4,53,67,0,0,0,46,80,113,118,88,44,17,0,0,0,0,0,24,40,54,55,28,0,0,0,0,48,42,45,60,65,60,61,62,66,73,58,57,6.56,5.83,3.75,-0.14,-2.23,-3.78,-4.73,-3.71,0.84,5.11,6.98,6.93
M,54.69117,-127.4027,1005,0,2.1,12.5,-7.9,20.5,1018,314,11.9,40,1036,859,5771,10,160,151,262,111,533,-35.8,29.8,427,98,11.3,73,71,249,-4.9,6.6,16.8,5,-9.6,-2.6,6.6,-0.8,-7.2,2,11.7,2.1,319,176,178,345,-9999,15.2,19.9,6.7,691,154,0,190,1,96,621,141,2267,1474,581,1450,0,2,6,2,3,28,89,40,286,93,4,150,0,114,255,58,0,20,77,0,80,67,67,79,31.93,11.87,-1.7,28.89,-5.8,-3.4,1.2,6.6,12,15.4,17.7,17.4,12.7,5.4,-3.1,-5.5,-10.1,-9.2,-6.7,-2.5,1.5,5.3,7.4,7.1,4.1,-0.8,-5.8,-9.5,-7.9,-6.3,-2.8,2,6.8,10.3,12.5,12.2,8.4,2.3,-4.4,-7.5,127,79,59,65,52,63,58,57,84,118,143,113,-3330,-3325.1,-3322.3,-3315.1,-3310.3,-3310.9,-3316.8,-3320.1,-3324.3,-3328.4,-3330,-3331.1,254,193,122,30,2,0,0,0,1,27,161,245,0,0,2,16,77,161,235,225,113,26,2,0,804,676,646,479,349,231,170,180,289,489,672,787,0,0,0,0,1,1,2,3,2,0,0,0,1,1,2,7,19,28,31,30,25,12,3,1,111,73,52,33,7,1,1,1,7,34,108,102,0,0,0,42,72,86,93,76,41,17,0,0,0,0,0,0,20,24,35,18,0,0,0,0,81,75,68,67,66,67,67,67,72,78,88,82,12.65,7.94,5.54,4.98,1.35,0.34,-1.08,-0.96,4.15,10.52,14.22,11.35
M,54.69117,-127.4027,1005,126,3.7,14.3,-8.1,22.5,1183,335,11.6,42.8,856,1145,5205,22,184,132,271,139,550,-35.9,31.5,459,106,11.3,72,80.85,423,-3.4,8.2,18.8,7.3,-9.3,-0.8,8.1,0.7,-6.3,3.7,13.5,4,423,198,182,380,3.6,15.2,19.9,6.7,623,98,0,135,2,148,780,215,2190,1316,423,1276,0,3,16,4,3,40,90,51,362,74,2,113,0,118,276,65,0,12,94,0,75,68,67,77,42.15,12.48,-4,30.21,-5.5,-0.7,3.5,8.1,13.2,17.3,19.8,19.3,14.7,8,-1,-4.1,-10.8,-7.7,-5.1,-0.8,3.6,6.6,8.9,8.9,5.5,1.5,-4.8,-9.3,-8.1,-4.2,-0.8,3.6,8.4,12,14.3,14.1,10.1,4.7,-2.9,-6.7,162,106,74,63,62,62,63,57,91,135,154,155,2.9,5.6,10.5,15.6,18.4,20.9,21.5,18.5,11.6,5.3,2.7,1.8,259,142,80,17,1,0,0,0,1,11,123,223,0,1,5,28,116,209,289,282,160,52,3,1,810,617,586,431,299,182,118,122,238,412,626,762,0,0,0,1,2,3,6,7,3,0,0,0,1,1,3,12,25,29,31,31,27,19,4,1,144,85,52,18,4,1,0,1,4,12,97,134,0,0,0,45,74,94,101,81,46,19,0,0,0,0,0,0,12,32,38,24,0,0,0,0,76,71,67,69,68,66,66,67,70,78,84,77,16.22,10.46,6.62,4.22,1.65,-0.59,-1.62,-1.79,3.57,11.45,15.2,15.48
M,54.69117,-127.4027,1005,245,4.6,15.5,-7.1,22.6,1218,342,12,45.2,737,1309,4883,36,195,126,275,149,499,-34.5,32.4,500,115,11.3,71,81.04,536,-2.4,9.2,19.8,8.2,-8.5,0,9.2,1.5,-5.4,4.6,14.5,4.9,430,207,181,400,3.6,15.2,19.9,6.7,554,75,0,108,3,180,875,252,2108,1236,342,1198,0,4,27,5,4,45,91,55,345,57,1,96,0,148,285,67,0,11,104,0,74,68,67,77,42.79,12.21,-5.42,31.46,-4.3,0,4.7,9,13.9,18.1,20.9,20.4,15.7,8.7,0.2,-2.9,-9.9,-7.1,-4.2,0,4.3,7.4,10.1,10,6.3,2.1,-3.8,-8.5,-7.1,-3.5,0.2,4.5,9.1,12.7,15.5,15.2,11,5.4,-1.8,-5.7,165,103,75,66,65,63,60,58,96,144,160,162,2.8,5.6,10.2,15,17.8,20.8,21.7,18.4,11.3,5.1,2.6,1.8,233,127,62,13,1,0,0,0,0,8,99,194,0,1,7,36,136,232,326,317,185,62,5,1,778,599,553,406,276,155,88,98,211,392,595,731,0,0,0,1,3,5,11,11,4,1,0,0,1,2,5,14,26,29,31,31,28,21,6,1,138,76,42,13,3,0,0,1,3,9,84,130,0,0,26,47,76,97,104,84,47,20,0,0,0,0,0,0,11,34,44,26,0,0,0,0,75,71,67,70,69,66,67,68,70,77,83,76,16.54,10.09,6.53,4.19,1.49,-0.87,-2.35,-2.19,3.75,12.07,15.64,16.17
M,54.69117,-127.4027,1005,370,5.6,16.7,-6.3,23,1219,341,12.8,48.9,641,1506,4568,61,207,120,281,160,436,-33.3,33.7,516,123,11.3,72,77.63,675,-1.4,10.1,20.8,9.2,-7.8,0.8,10.4,2.5,-4.6,5.4,15.6,5.8,424,215,177,402,3.5,15.2,19.9,6.7,492,62,0,86,4,220,982,300,2034,1160,262,1112,0,5,49,7,5,50,91,59,313,44,1,79,0,154,292,70,0,8,115,0,73,68,68,77,42.08,11.85,-7.07,30.78,-3.4,1.1,5.4,10,14.8,19,21.9,21.6,16.6,9.8,1.1,-2,-9.2,-6.4,-3.6,0.9,5.1,8.4,11.5,11.5,7.3,3.1,-3,-7.8,-6.3,-2.6,0.9,5.4,10,13.7,16.7,16.5,12,6.5,-1,-4.9,164,101,75,70,70,64,56,57,94,145,163,159,2.8,5.4,9.9,14.5,17.4,20.6,21.9,18.8,11.4,5,2.5,1.7,213,107,52,9,0,0,0,0,0,6,80,173,1,2,10,49,161,261,363,358,213,81,6,1,754,573,533,378,249,135,60,68,185,358,569,707,0,0,0,1,4,7,20,21,6,1,0,0,1,2,6,17,28,30,31,31,28,24,7,2,129,65,33,8,2,0,0,0,2,5,72,118,0,0,27,49,79,99,106,86,49,21,0,0,0,0,0,0,8,36,50,29,0,0,0,0,75,70,67,70,69,67,68,69,70,77,84,76,16.38,9.77,6.28,4.17,1.4,-1.13,-3.15,-2.8,3.22,11.7,15.85,15.93
M,54.69117,-127.4027,1005,585,6.3,17.6,-5.5,23.1,1274,349,12.8,50.4,553,1650,4315,87,217,115,286,171,394,-31.9,34.2,524,126,11.3,72,80.93,781,-0.7,10.7,21.5,9.8,-6.9,1.6,11.4,3.3,-3.8,6.2,16.4,6.6,438,229,178,430,3.5,15.2,19.9,6.7,434,49,0,71,5,253,1056,336,1961,1091,213,1050,0,6,71,10,7,56,92,63,290,33,0,70,0,158,295,71,0,8,117,0,74,69,69,78,43.19,12.49,-7.73,32.98,-2.7,2,6.3,10.5,15.4,19.6,22.7,22.3,17.4,10.3,1.8,-1.4,-8.4,-5.4,-2.7,1.7,5.8,9.2,12.5,12.4,8.3,3.8,-2.2,-6.9,-5.5,-1.7,1.8,6.1,10.6,14.4,17.6,17.3,12.9,7.1,-0.2,-4.2,167,106,82,75,72,63,57,58,99,155,176,165,2.7,5.3,9.6,14.2,17.2,20.7,22.3,18.6,11.3,4.9,2.4,1.7,193,88,41,7,0,0,0,0,0,4,66,153,1,3,13,60,180,282,391,383,236,92,8,1,730,547,505,358,228,118,43,52,162,340,547,684,0,0,0,1,5,10,30,30,9,1,0,0,2,3,7,20,29,30,31,31,29,25,9,2,123,57,26,6,1,0,0,0,2,4,65,111,0,0,28,49,80,101,108,87,50,21,0,0,0,0,0,0,8,37,51,29,0,0,0,0,75,71,67,71,69,67,69,70,71,78,84,77,16.71,10.09,6.73,4.38,1.38,-1.37,-3.37,-2.99,3.49,12.48,17,16.4
