GCM,PROV,Lat, long, elev,SSP,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH,CMI,DD1040,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at,Tmax_01,Tmax_02,Tmax_03,Tmax_04,Tmax_05,Tmax_06,Tmax_07,Tmax_08,Tmax_09,Tmax_10,Tmax_11,Tmax_12,Tmin_01,Tmin_02,Tmin_03,Tmin_04,Tmin_05,Tmin_06,Tmin_07,Tmin_08,Tmin_09,Tmin_10,Tmin_11,Tmin_12,Tave_01,Tave_02,Tave_03,Tave_04,Tave_05,Tave_06,Tave_07,Tave_08,Tave_09,Tave_10,Tave_11,Tave_12,Prec_01,Prec_02,Prec_03,Prec_04,Prec_05,Prec_06,Prec_07,Prec_08,Prec_09,Prec_10,Prec_11,Prec_12,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Rad_11,Rad_12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD_01,NFFD_02,NFFD_03,NFFD_04,NFFD_05,NFFD_06,NFFD_07,NFFD_08,NFFD_09,NFFD_10,NFFD_11,NFFD_12,PAS_01,PAS_02,PAS_03,PAS_04,PAS_05,PAS_06,PAS_07,PAS_08,PAS_09,PAS_10,PAS_11,PAS_12,Eref_01,Eref_02,Eref_03,Eref_04,Eref_05,Eref_06,Eref_07,Eref_08,Eref_09,Eref_10,Eref_11,Eref_12,CMD_01,CMD_02,CMD_03,CMD_04,CMD_05,CMD_06,CMD_07,CMD_08,CMD_09,CMD_10,CMD_11,CMD_12,RH_01,RH_02,RH_03,RH_04,RH_05,RH_06,RH_07,RH_08,RH_09,RH_10,RH_11,RH_12,CMI_01,CMI_02,CMI_03,CMI_04,CMI_05,CMI_06,CMI_07,CMI_08,CMI_09,CMI_10,CMI_11,CMI_12
8,N,59.685,-129.129,730,0,-0.7,14.5,-17.3,31.8,409,199,22.8,73,2090,1007,6791,18,135,164,247,82,192,-49.1,31.8,466,238,10,58,3.09,373,-10.9,7.3,20,4,-20.9,-6.6,6.7,-5.1,-15.9,0.4,13.4,-0.6,106,53,143,107,-9999,14.8,18,5,1439,291,0,360,1,119,769,118,3045,1626,430,1690,0,2,15,1,0,19,89,28,106,29,1,56,0,124,290,52,0,87,146,5,56,51,59,66,10.61,-1.58,-10.94,5,-12.3,-7.4,-0.5,7.5,14.8,19.5,21.1,19.4,13.5,4.8,-6.2,-12.9,-22.2,-19.8,-14.8,-5.5,0.6,5.7,7.9,6.5,2.2,-2.9,-14.8,-20.6,-17.3,-13.6,-7.6,1,7.7,12.6,14.5,12.9,7.8,1,-10.5,-16.7,38,31,17,15,21,45,54,45,35,35,37,37,-3331,-3328.2,-3322.5,-3313.8,-3309.9,-3312.8,-3318,-3319.8,-3325.8,-3329.8,-3332,-3332,536,383,248,42,1,0,0,0,2,43,315,519,0,0,2,19,99,228,294,247,99,18,1,0,1091,882,797,510,320,158,113,159,305,530,854,1073,0,0,0,0,2,4,7,4,1,0,0,0,0,0,0,2,16,28,31,30,21,7,0,0,38,31,17,10,2,0,0,1,3,17,36,36,0,0,0,42,82,104,106,79,39,13,0,0,0,0,0,27,61,60,52,34,5,0,0,0,56,48,44,54,55,57,60,60,63,72,63,64,3.83,3.12,1.67,-0.02,-3.23,-3.85,-3.6,-3.5,-1.12,2.46,3.67,3.65
8,N,59.685,-129.129,730,126,1.1,16.2,-16.2,32.4,514,252,21.7,64.5,1767,1277,6156,41,154,148,257,109,214,-46,33.7,497,213,10,58,6.91,552,-8.8,8.8,21.9,6.4,-19.2,-4.8,8.2,-3.4,-14,2,15,1.5,131,75,173,135,2.3,14.8,18,5,1271,222,0,274,1,168,923,184,2876,1478,303,1499,0,3,34,3,0,26,91,37,130,32,1,51,0,129,310,58,0,76,137,0,55,53,58,65,13.09,-0.69,-11.19,5.7,-11,-5.1,1.8,8.7,15.8,21.2,23.1,21.4,15.4,7.7,-3.8,-10.1,-21.3,-17.7,-12.7,-4.3,2.5,7,9.4,8.1,3.9,-0.9,-13.1,-18.6,-16.2,-11.4,-5.5,2.2,9.2,14.1,16.2,14.8,9.6,3.4,-8.5,-14.4,49,35,23,18,35,54,67,52,44,49,43,47,2,3.9,9.4,15.8,18.6,20,19.4,15.3,8.8,3.7,1.9,1,502,322,193,28,1,0,0,0,1,18,255,447,0,1,4,26,138,273,349,301,147,36,1,0,1057,820,729,474,274,125,70,108,251,453,794,1000,0,0,0,0,3,9,16,9,3,0,0,0,0,0,0,4,22,29,31,31,24,12,0,0,48,35,22,9,1,0,0,1,2,8,40,47,0,0,0,45,84,111,114,85,43,16,0,0,0,0,0,27,49,57,46,34,0,0,0,0,55,48,45,55,58,57,59,60,63,70,61,62,4.86,3.54,2.25,-0.25,-2.7,-3.86,-3.38,-3.95,-1.53,2.97,4.26,4.7
8,N,59.685,-129.129,730,585,4.1,19.4,-12.9,32.3,568,272,24.7,71.1,1314,1781,5205,148,178,130,271,141,209,-42.9,36.2,543,234,10,58,2.05,928,-5.4,11.5,24.8,9.4,-16.3,-2.3,11.3,-0.5,-10.9,4.6,18,4.4,140,90,180,159,2.3,14.8,18,5,996,132,0,186,3,278,1201,299,2597,1240,126,1242,0,9,132,8,0,37,92,49,137,26,0,45,0,143,336,64,0,78,156,0,54,53,60,65,14,-2.38,-15.43,5.86,-7.6,-2,4.9,11.2,18.5,24,26.1,24.4,18.1,10.3,-0.3,-6.7,-18.2,-15,-10.3,-1.9,5.4,9.7,12.7,11.4,6.6,1.8,-10.1,-15.6,-12.9,-8.5,-2.7,4.6,11.9,16.8,19.4,17.9,12.3,6.1,-5.2,-11.2,51,38,25,21,44,60,66,54,49,58,52,51,1.8,3.7,8.8,14.8,17.5,19.3,19.4,15.1,8.5,3.5,1.7,0.9,403,245,120,12,0,0,0,0,0,6,179,348,0,2,9,52,217,354,446,401,223,73,3,1,958,739,643,401,196,65,20,41,175,371,695,900,0,0,0,1,8,30,63,39,7,1,0,0,0,0,1,9,28,30,31,31,28,20,1,0,50,37,22,4,0,0,0,0,1,2,42,50,0,0,0,51,92,121,123,93,47,17,0,0,0,0,0,30,48,61,56,39,0,0,0,0,54,47,45,56,59,57,61,61,64,72,60,61,5.08,3.78,1.99,-1.1,-3.26,-4.87,-5.2,-5.36,-2.2,2.89,5.18,5.14
8,M,54.19948,-125.002,670,0,4.3,15.9,-7.1,23.1,541,248,26.5,64.4,826,1320,5005,39,169,148,261,113,178,-37.8,33.9,551,255,11.1,61,6.54,557,-1.3,10.3,21.5,9.5,-11.3,-2,8,-0.4,-6.3,4.2,14.8,4.6,136,100,156,148,-9999,14.7,20,6.8,620,103,0,103,2,185,903,230,2184,1277,320,1224,0,4,31,4,2,33,90,43,116,29,1,32,0,146,326,79,0,76,169,10,59,58,59,66,13.56,-0.03,-11.95,4.95,-2,0.3,4.3,10.5,16.2,19.7,22.8,22.1,17,9.3,2.2,-2.3,-12.2,-11,-6.9,-1.8,2.7,6.8,9.1,8.1,4.3,-0.3,-5.1,-10.6,-7.1,-5.3,-1.3,4.3,9.4,13.3,15.9,15.1,10.7,4.5,-1.5,-6.4,53,31,29,25,46,55,58,43,46,51,52,51,-3331,-3326,-3323,-3316,-3310.5,-3316.9,-3316.9,-3318.1,-3322.7,-3328.9,-3330.4,-3331,235,170,89,14,1,0,0,0,1,12,91,215,0,1,4,35,146,248,340,315,176,49,5,1,780,650,600,410,266,144,77,99,221,420,584,754,0,0,0,1,3,6,14,11,4,0,0,0,1,0,2,9,23,29,31,31,25,14,4,1,45,27,22,5,2,0,0,0,2,5,25,43,0,0,0,55,92,108,120,98,55,24,0,0,0,0,0,29,46,53,61,55,10,0,0,0,58,55,58,59,57,60,59,58,60,67,71,65,5.35,3.13,2.21,-0.31,-1.92,-2.61,-4.04,-5.3,-2.34,2.62,4.68,5.09
8,M,54.19948,-125.002,670,126,5.7,17.7,-7.5,25.1,657,271,23.9,65.2,708,1620,4549,83,187,135,271,136,209,-38.2,35.3,622,268,11.1,59,9.55,767,0,12,23.5,11.5,-11.1,-0.6,9.3,1,-5.5,5.7,16.4,6.2,189,121,165,182,3,14.7,20,6.8,566,66,0,76,3,250,1050,317,2120,1135,215,1078,0,7,68,8,2,42,91,52,154,25,0,29,0,185,351,86,0,77,185,6,56,58,58,65,18.49,-0.06,-14.87,5.99,-1.8,3.4,6.4,11.9,17.6,21.6,24.9,23.9,18.9,11.8,3.7,-1.6,-13.1,-9.2,-5.4,-0.3,4.1,7.7,10.4,9.8,5.8,1.7,-4.7,-10.9,-7.5,-2.9,0.5,5.8,10.9,14.6,17.7,16.9,12.4,6.8,-0.5,-6.3,71,38,43,26,53,55,60,50,53,62,67,80,2,4.9,10,14.8,18.9,21.2,21.5,18.5,11.3,5.8,2.8,1.9,243,113,58,8,0,0,0,0,0,5,71,211,0,2,8,55,187,289,393,368,223,87,7,1,790,581,545,367,223,113,42,61,175,349,554,749,0,0,0,1,5,11,31,25,7,1,0,0,0,1,3,13,26,29,31,31,27,20,5,1,61,26,22,2,1,0,0,0,1,2,26,68,0,0,31,58,97,118,129,104,59,27,0,0,0,0,0,33,44,62,69,54,6,0,0,0,54,52,57,60,58,58,57,58,60,67,68,61,7.07,3.38,3.04,-1.03,-2.07,-3.81,-5.35,-5.7,-2.46,2.54,5.9,8.04
8,M,54.19948,-125.002,670,585,8.3,21,-4.9,25.9,708,275,25.9,76.3,450,2180,3763,260,215,121,285,164,146,-34.6,38.2,685,303,11.1,60,1.87,1190,2.8,14.4,26.4,14.1,-8.8,1.6,12.6,3.5,-3,8,19.5,8.8,203,138,157,210,3,14.7,20,6.8,382,34,0,34,7,372,1335,467,1890,938,82,853,0,14,224,22,4,55,92,64,121,10,0,15,0,204,376,105,0,79,220,5,56,59,60,65,19.04,-1.83,-20.75,5.42,1,6.1,9,14.2,19.8,24,28,27.1,21.7,14.2,6.6,1.3,-10.7,-7,-3.3,2,6,10.3,14,13.5,8.7,4,-2.1,-8.5,-4.9,-0.5,2.9,8.1,12.9,17.2,21,20.3,15.2,9.1,2.2,-3.6,77,39,48,31,58,56,54,47,60,73,78,87,1.9,4.7,9.4,13.8,18,21.1,21.9,18.7,10.9,5.4,2.6,1.8,175,68,31,3,0,0,0,0,0,2,32,139,1,4,20,103,249,365,496,474,307,141,19,2,709,514,471,298,170,58,9,15,103,277,473,667,0,0,0,3,11,34,103,88,20,2,0,0,1,2,6,20,29,30,31,31,29,26,9,1,52,15,9,1,0,0,0,0,1,0,14,54,0,0,35,64,104,126,139,112,65,29,10,0,0,0,0,33,46,70,85,65,5,0,0,0,54,53,58,61,58,59,60,60,61,67,69,61,7.7,2.83,2.63,-1.93,-2.53,-5.03,-7.88,-7.84,-3.09,2.27,6.23,8.5
8,S,49.29546,-117.202,1250,0,5.2,16.8,-4.9,21.7,1029,301,14.8,55.8,615,1426,4701,55,191,136,273,137,365,-29.9,35.4,595,183,10.8,70,54.94,608,-1.5,9.5,21.3,9,-6.4,-0.3,9,1,-4,4.6,15.1,5,312,274,166,278,-9999,14.1,20,6.4,441,75,0,99,18,207,936,264,1974,1235,305,1186,0,4,46,6,8,42,91,50,211,79,1,73,0,173,333,89,0,0,167,16,79,66,62,73,30.83,17.92,-11.64,17.83,-2.1,0.1,4.3,9.4,14.8,17.6,23.1,23.2,17.2,8.8,1.1,-2.5,-6.3,-5.9,-3.8,-0.7,3.5,6.5,9.9,10.4,6,0.8,-3.8,-7.2,-4.2,-2.9,0.3,4.4,9.1,12.1,16.5,16.8,11.6,4.8,-1.3,-4.9,119,75,114,70,90,89,45,32,46,99,133,118,-3330.9,-3326.4,-3322.1,-3317.9,-3315.8,-3315.9,-3313.1,-3313.9,-3322.5,-3330.1,-3331.9,-3332,157,112,61,13,1,0,0,0,0,11,88,172,6,8,20,49,137,212,357,367,201,52,11,5,688,581,551,409,275,179,64,62,195,412,580,706,0,0,0,1,3,3,18,24,5,0,0,0,3,3,5,12,25,29,31,31,27,17,6,2,73,51,61,14,4,1,0,0,1,8,63,87,0,0,30,55,88,101,126,107,61,27,0,0,0,0,0,0,0,11,81,75,16,0,0,0,82,75,70,66,63,65,60,61,65,73,80,80,11.78,7.28,10.37,4.38,3.17,1.76,-6.04,-7.35,-2.49,7.49,12.82,11.77
8,S,49.29546,-117.202,1250,126,6.7,18.9,-4.5,23.4,1091,316,15.3,59.8,511,1798,4217,127,213,121,284,163,317,-30.4,37.1,641,198,10.8,70,53.79,864,-0.4,11.1,23.3,10.9,-6.2,1.2,11.1,2.7,-3.3,6.1,17.2,6.8,360,272,171,288,2.9,14.1,20,6.4,395,54,0,61,23,292,1126,357,1915,1096,178,1027,0,7,109,11,9,53,92,60,220,46,0,50,0,184,352,105,0,0,181,17,76,67,63,73,35.33,15.64,-14.2,17.02,-1.9,1.9,5.6,11.2,16.4,20.1,24.8,25,18.7,10.9,3.2,-1.1,-7.2,-4.9,-3,1.4,5.2,8.6,11.9,12.8,8.1,2.6,-2.5,-6.6,-4.5,-1.5,1.3,6.3,10.8,14.4,18.4,18.9,13.4,6.8,0.4,-3.8,130,86,101,73,99,78,46,46,46,93,149,145,2.1,5.6,10.2,14.2,18.1,20.7,22.6,18.7,11.9,5.8,2,1,166,85,47,7,0,0,0,0,0,5,56,143,5,12,27,80,186,281,415,431,253,86,17,6,700,542,521,352,224,119,31,28,149,350,529,673,0,0,0,1,5,10,43,56,10,1,0,0,2,4,7,19,28,30,31,31,29,22,8,3,84,44,39,5,2,0,0,0,1,3,47,92,0,0,32,59,93,111,131,110,64,30,11,0,0,0,0,0,0,32,85,64,17,0,0,0,77,73,69,67,64,64,62,64,67,72,79,77,12.9,8.06,8.75,3.75,3.14,-0.61,-6.89,-6.7,-2.92,5.89,14.05,14.37
8,S,49.29546,-117.202,1250,585,9.5,22.8,-2.2,25,1146,302,17,75.5,301,2454,3461,364,248,108,298,190,176,-26.3,40.7,709,249,10.8,71,46.33,1351,2.3,13.3,26.5,13.7,-4.1,3.5,14.9,5.6,-0.9,8.4,20.7,9.7,386,300,149,311,2.9,14.1,20,6.4,247,27,0,28,45,426,1446,537,1699,899,69,793,0,14,315,36,16,68,92,72,137,15,0,24,17,200,378,115,0,0,229,21,75,68,66,74,36.68,15.46,-21.8,15.98,0.8,4.4,8.2,13.4,18.4,22.6,28.3,28.6,21.9,13.4,5.8,1.7,-5.1,-2.8,-0.5,3.7,7.2,11.7,16,17.1,11.6,5.4,0,-4.3,-2.2,0.8,3.8,8.5,12.8,17.1,22.2,22.8,16.7,9.4,2.9,-1.3,138,91,112,83,105,73,38,38,49,99,163,157,1.9,5.3,9.6,13.2,17.6,20.9,22.9,18.8,11.7,5.6,1.9,1,109,50,24,3,0,0,0,0,0,2,26,87,10,22,52,128,246,363,531,552,352,149,35,13,626,477,442,285,172,59,5,5,71,268,455,596,0,0,0,3,10,33,130,151,33,2,0,0,4,7,13,25,30,30,31,31,30,28,14,5,58,22,13,2,1,0,0,0,0,1,24,57,0,17,37,64,99,117,141,119,69,33,13,0,0,0,0,0,0,44,103,81,21,0,0,0,76,73,70,68,65,67,64,66,68,74,80,76,13.46,8.02,9.01,3.53,2.92,-2.2,-9.85,-9.75,-4.04,5.18,14.84,15.2
13,N,59.685,-129.129,730,0,-0.7,14.5,-17.3,31.8,409,199,22.8,73,2090,1007,6791,18,135,164,247,82,192,-49.1,31.8,466,238,10,58,3.09,373,-10.9,7.3,20,4,-20.9,-6.6,6.7,-5.1,-15.9,0.4,13.4,-0.6,106,53,143,107,-9999,14.8,18,5,1439,291,0,360,1,119,769,118,3045,1626,430,1690,0,2,15,1,0,19,89,28,106,29,1,56,0,124,290,52,0,87,146,5,56,51,59,66,10.61,-1.58,-10.94,5,-12.3,-7.4,-0.5,7.5,14.8,19.5,21.1,19.4,13.5,4.8,-6.2,-12.9,-22.2,-19.8,-14.8,-5.5,0.6,5.7,7.9,6.5,2.2,-2.9,-14.8,-20.6,-17.3,-13.6,-7.6,1,7.7,12.6,14.5,12.9,7.8,1,-10.5,-16.7,38,31,17,15,21,45,54,45,35,35,37,37,-3331,-3328.2,-3322.5,-3313.8,-3309.9,-3312.8,-3318,-3319.8,-3325.8,-3329.8,-3332,-3332,536,383,248,42,1,0,0,0,2,43,315,519,0,0,2,19,99,228,294,247,99,18,1,0,1091,882,797,510,320,158,113,159,305,530,854,1073,0,0,0,0,2,4,7,4,1,0,0,0,0,0,0,2,16,28,31,30,21,7,0,0,38,31,17,10,2,0,0,1,3,17,36,36,0,0,0,42,82,104,106,79,39,13,0,0,0,0,0,27,61,60,52,34,5,0,0,0,56,48,44,54,55,57,60,60,63,72,63,64,3.83,3.12,1.67,-0.02,-3.23,-3.85,-3.6,-3.5,-1.12,2.46,3.67,3.65
