SITE,PROV,BLOCK,TREE,S_MAT,S_MCMT,S_MAP,S_MSP,S_Latitude,S_Longitude,S_Elevation,P_MAT,P_MCMT,P_MAP,P_MSP,P_Elevation,P_Latitude,P_Longitude,Height,live
MID,1,4,6,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,853.3360724,1
MID,1,3,4,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,827.0951189,1
MID,1,3,9,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,804.8594622,1
MID,1,4,9,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,745.6831747,1
MID,1,4,5,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,832.1913622,1
MID,1,4,1,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,838.4129317,1
MID,1,3,5,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,831.6186549,1
MID,1,3,7,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,793.4835453,1
MID,1,3,8,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,806.3393399,1
MID,1,4,4,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,809.2085709,1
MID,1,4,3,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,661.5521231,1
MID,1,3,2,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,748.4549137,1
MID,1,3,6,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,825.4723527,1
MID,1,4,7,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,851.5592884,1
MID,1,3,1,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,831.6186549,1
MID,1,3,3,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,825.4723527,1
MID,1,4,8,1.9,-12.9,565,247,54.199481,-125.002,670,-1.2,-18.3,636,431,762,58.66231978,-124.0569529,842.1934861,1
